--- 0x89702330..0x89702E24  159 noms ---
  0x89704B98  wentToPk
  0x89704BA4  pk_goals
  0x89704BB0  passesMade
  0x89704BBC  passAttempts
  0x89704BCC  offsides
  0x89704BD8  ownGoals
  0x89704BE4  goalsAgainst
  0x89704BF4  goals
  0x89704BFC  fouls
  0x89704C04  corners
  0x89704C0C  difficulty
  0x89704C18  opponentTeam
  0x89704C28  NPWR04616_00
  0x89704C38  BLUS31189_00
  0x89704C48  UP0006
  0x89704C50  O_GeoOver
  0x89704C5C  M_HASH
  0x89704C64  fifaMatchupHash
  0x89704C74  OSDK_LANG_SE
  0x89704C84  OSDK_LANG_RU
  0x89704C94  OSDK_LANG_PL
  0x89704CA4  OSDK_LANG_NL
  0x89704CB4  OSDK_LANG_KR
  0x89704CC4  OSDK_LANG_JP
  0x89704CD4  OSDK_LANG_IT
  0x89704CE4  OSDK_LANG_HU
  0x89704CF4  OSDK_LANG_FR
  0x89704D04  OSDK_LANG_FI
  0x89704D14  OSDK_LANG_ES
  0x89704D24  OSDK_LANG_EN
  0x89704D34  OSDK_LANG_DK
  0x89704D44  OSDK_LANG_DE
  0x89704D54  OSDK_LANG_CZ
  0x89704D64  OSDK_LANG_CN
--- 0x89705064..0x897055A4  80 noms ---
  0x89705064  FIFACLUBLEAGUE
  0x89705074  fifaClubLeague
  0x89705084  ONL_HELP_CLUB_NUM_PLAYERS
  0x897050A0  ONL_CLUB_NUM_PLAYERS
  0x897050BC  FIFACLUBNUMPLAYER
  0x897050D0  fifaClubNumPlayers
  0x897050E4  ONL_HELP_GK_CONTROL
  0x897050F8  ONL_GK_CONTROL
  0x89705108  ONL_GK_CONTROL_HUMAN
  0x89705120  ONL_GK_CONTROL_AI
  0x89705134  FIFAGKCTRL
  0x89705140  fifaGKControl
  0x89705150  ONL_HELP_PLAYERS_PER_TEAM
  0x8970516C  ONL_PLAYERS_PER_TEAM
  0x89705184  ONL_PLAYERS_PER_TEAM_1
  0x8970519C  ONL_PLAYERS_PER_TEAM_2
  0x897051B4  FIFAPPT
  0x897051BC  ONL_HELP_ROSTER
  0x897051CC  ONL_ROSTER
  0x897051D8  OSDK_COMMON_ONLINE_HELP
  0x897051F0  Custom
  0x897051F8  FIFAROSTER
  0x89705204  fifaRoster
  0x89705210  FIFACUP
  0x89705218  fifaCup
  0x89705220  FIFAMINIDIV
  0x8970522C  fifaMiniDivision
  0x89705240  FIFADIV
  0x89705248  fifaDivision
  0x89705258  ONL_HELP_GAME_SPEED
  0x8970526C  ONL_GAME_SPEED
  0x8970527C  ONL_GAME_SPEED_2
  0x89705290  ONL_GAME_SPEED_1
